"scode";"housenumber";"pavilion";"street_d_name";"street_s_name";"district_name";"post_index";"change_doc_date";"change_doc_state";"x";"y"
"1003";"1";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"79019";"";"";"24.02516643";"49.84502831"
"1003";"10";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.02282944";"49.85539702"
"1003";"101";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.01574690";"49.86533381"
"1003";"101а";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"2015-07-01";"347";"24.01589257";"49.86533129"
"1003";"103";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"79020";"";"";"24.01562991";"49.86607031"
"1003";"105";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.01489038";"49.86702634"
"1003";"107";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.01560183";"49.86786784"
"1003";"11";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"79019";"";"";"24.02530304";"49.84686318"
"1003";"12";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.02232714";"49.85636891"
"1003";"13";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"79019";"";"";"24.02531082";"49.84692642"
"1003";"14";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"2015-01-28";"45";"24.02020298";"49.86110640"
"1003";"15";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"79019";"";"";"24.02532606";"49.84704274"
"1003";"16а";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.02601131";"49.85544443"
"1003";"16з";"";"Чорновола В.,просп.";"В.Чорновола";"Шевченківський район";"";"";"";"24.02596202";"49.85568731"
"1003";"17";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"79019";"";"";"24.02534529";"49.84719294"
"1003";"19";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"79019";"";"";"24.02536294";"49.84733158"
"1003";"2";"";"Чорновола В.,просп.";"В.Чорновола";"Галицький район";"";"";"";"24.02601538";"49.84756087"
